avg_balance,monthly_inflows,monthly_outflows,risk
27637.917924938465,52276.939233087505,39476.74076681976,0
17499.10840175533,17840.497525670085,14047.455594250945,0
12432.229117297187,38475.14759455058,45566.58991149337,0
17120.803115110983,67163.07196856204,61410.98433085739,0
8719.228956871202,32096.126539489735,29827.356639442736,1
7681.293600281628,65012.045650738284,76223.05413461712,1
9719.913071750001,47442.85776527456,55049.27947245022,1
4995.131842301984,78153.48913065021,55059.56296357191,0
15483.596349069898,46482.01111222879,33638.04324084575,0
25489.82452468898,59468.26066476981,50939.31778377037,0
30158.6501654459,59088.98141486883,68930.4764245926,0
4945.532800725876,64885.320968701824,76469.52036656077,1
3607.202934817862,48453.07906472937,56903.30212954467,1
5389.983839632552,72683.52365998397,69258.096401369,1
20349.108099523262,58282.67832586045,58898.506589516044,0
31718.60395009307,45454.372685793875,46815.82478432045,0
13653.473246532143,36005.772947404694,26441.34707363293,0
11083.176002973718,56373.53797679577,52514.25033660461,0
20738.178020806663,52931.44874039778,41402.68994605223,0
5413.753577407593,40885.569732125005,34995.5672447097,0
0.0,19213.059386356665,18301.12988590174,1
17076.008736860156,58469.76082255336,51114.538472374996,0
14250.787480318095,49330.58565400337,37803.088986877505,0
8457.842735710703,42479.20866384064,49225.94404958886,1
16416.683594190865,65966.84312210952,50619.79332729623,0
2392.5958609308273,53682.776649910404,50650.84842930605,1
24492.746999472278,56679.92243263366,39721.44650132712,0
390.81086978551866,66223.71092547174,79044.48806617643,1
19228.17392864687,80015.34108289005,60334.218245073636,0
852.983753866296,36078.02159225322,33020.7529491904,1
12680.84131771674,73082.70935704016,79801.52052293072,0
9308.89939417909,32290.609320573338,33296.24034753829,1
20016.125378317563,65916.97635423199,77875.39886826626,0
22863.99100967033,47543.85879063177,41581.570037734105,0
13589.559262367375,60768.970787339975,43070.32651792539,0
10641.702700284768,46885.56295211186,42888.16430092302,0
11843.041880794834,47324.92418757922,36717.152274141285,0
13886.68352719964,47310.07958190453,46923.50874719479,0
13491.02439606735,45416.54308035744,42887.70578767715,0
10831.255453712985,57762.273543206626,57909.08964642613,0
19086.859570773413,56457.94417515551,42676.565926048905,0
24843.626514837873,35025.017951412934,29387.571391439666,0
8020.577708457163,52005.94585585309,59694.602631135116,1
5457.781967850327,39717.9072096737,38262.21687491305,1
4125.807064357143,76458.05348085918,74763.0138233022,1
27942.692664617418,50395.11933121153,48544.3129036597,0
2895.7197734760575,51785.931173646146,41499.18090237832,0
27807.34141201261,60117.57549732232,44508.07170844117,0
29165.243534607478,68150.98899763389,67562.4765586779,0
21355.858304635938,25900.6142193078,18301.349173610804,0
17958.400320347962,40214.031214856266,34717.464572281504,0
15483.02450515943,45643.76634736034,34882.53194355107,0
10784.515577467537,32042.501109646546,26613.275290815265,0
12827.846062305674,35714.02422304291,38925.96781122832,0
22745.20006606251,50534.02951857552,54393.51041746605,0
18537.75363354324,60531.712087651285,65990.20128249397,0
13905.135048450382,19740.66534081531,20714.376177876857,0
6101.010256201285,61110.108715035865,60744.2305120589,1
16844.855683683494,76963.1726702898,87003.7719451952,0
13502.514735541843,54726.36414823556,39802.095546391625,0
11308.27656852266,31243.57182439109,32981.53289650618,0
6747.535560911723,61157.44451873186,50973.19638014043,0
10153.053140883008,48878.280550230375,46560.32816977818,0
6817.133628512502,40179.60389381382,34227.95823359803,0
8372.399340730677,44697.185076782436,41475.84869138445,1
21904.63554134156,54123.96171605131,39235.98699027244,0
12941.339841279563,27949.49619783611,21473.94247823485,0
13382.58324211371,68463.68136323204,49127.324214873195,0
16268.758138214353,47789.35662203273,45414.433092616004,0
19769.516573100635,43696.03953261757,41417.39344605954,0
7208.551291689757,46451.40591958072,35477.54777614575,0
